url,keyword,url_length,num_dots,num_slashes,keyword_length,has_numbers,has_special_chars,tld
http://clzuhx25lnkadj5ulir7iqhanakafwhn24zzi2fvfyml7dtoi6fkxmad.onion,hacking services,69,1,2,16,1,1,onion
http://wbfixpb7w55r3jypa23gjlafumxvnqv62ik76zel4f3dlfd4xtmrslid.onion,hacking services,69,1,2,16,1,1,onion
http://xieghsqt76wyqhsw4blqlf22ywe7qhbpx763k4tcxmlf2rhkbbj3hwid.onion,hacking services,69,1,2,16,1,1,onion
http://djr3zd4d2ponayjuzhmlcysy2ez4zlmul7aizickabacdcko6ljkylyd.onion,hacking services,69,1,2,16,1,1,onion
http://offprivqqdxfmssktx3y5h3miqvceq6yy37s5sxkhz4mojvsz74ohqid.onion,identity theft,69,1,2,14,1,1,onion
http://cashcowmup3mpx5rxpzdyvwyhckvwmqzs7qoixssbej5og3lq4cvokad.onion,identity theft,69,1,2,14,1,1,onion
https://tweedge32j4ib2hrj57l676twj2rwedkkkbr57xcz5z73vpkolws6vid.onion,identity theft,70,1,2,14,1,1,onion
http://tweedge32j4ib2hrj57l676twj2rwedkkkbr57xcz5z73vpkolws6vid.onion,identity theft,69,1,2,14,1,1,onion
http://xwbfxc2lvvziwvdhegozj4e4doitnrqrcrlk5jvw444dxktghoany7yd.onion,identity theft,69,1,2,14,1,1,onion
http://yyvga7ktvgq37bbuwlqetox5t35xpxxasmxv3dspqknighzbnd7zytqd.onion,identity theft,69,1,2,14,1,1,onion
http://free7arkahqzwrpfopgeng2lpnl5euxwcb5kvkr2fgnm2zc3pveaxxqd.onion,identity theft,69,1,2,14,1,1,onion
https://wb32ebuenqewzxtxa7lqph4jruredaixroffbc7iw56r4by2a322ojid.onion,identity theft,70,1,2,14,1,1,onion
http://e6sqbjspbec4ngl6hgxnromuecbmozhekea3lkuqs2mqh6tq772jnsad.onion,identity theft,69,1,2,14,1,1,onion
